case_id,context,phase_step,old_prediction,new_prediction,old_loss,new_loss,decoded_old_estimate,decoder_boundary_error,old_loss_change
case_00,A,1,-0.1,-0.07071067811865475,0.405,0.4317893218813453,-0.1,,-0.09499999999999997
case_00,A,2,-0.19,-0.13435028842544403,0.32805000000000006,0.37467471157455595,-0.19,,-0.07694999999999996
case_00,A,3,-0.271,-0.19162593770155437,0.26572049999999997,0.32673431229844563,-0.271,,-0.06232950000000009
case_00,A,4,-0.34390000000000004,-0.2431740220500537,0.21523360499999994,0.2863927804499463,-0.34390000000000004,,-0.05048689500000003
case_00,A,5,-0.40951000000000004,-0.28956729796370306,0.17433922004999997,0.2523573120612969,-0.40951000000000004,,-0.04089438494999997
case_00,A,6,-0.46855900000000006,-0.3313212462859875,0.14121476824049997,0.22356563783426245,-0.46855900000000006,,-0.033124451809499994
case_00,A,7,-0.5217031000000001,-0.36889979977604354,0.11438396227480496,0.19914373136135902,-0.5217031000000001,,-0.02683080596569501
case_00,A,8,-0.5695327900000001,-0.40272049791709397,0.092651009442592,0.17837140180420208,-0.5695327900000001,,-0.021732952832212965
case_00,A,9,-0.6125795110000001,-0.4331591262440393,0.07504731764849953,0.16065428808021048,-0.6125795110000001,,-0.017603691794092463
case_00,A,10,-0.6513215599000001,-0.4605538917382901,0.06078832729528462,0.14550105185935222,-0.6513215599000001,,-0.014258990353214915
case_00,A,11,-0.68618940391,-0.48520918068311586,0.04923854510918055,0.13250479382647445,-0.68618940391,,-0.011549782186104071
case_00,A,12,-0.717570463519,-0.5073989407334589,0.03988322153843626,0.12132790179525915,-0.717570463519,,-0.00935532357074429
case_00,A,13,-0.7458134171671,-0.5273697247787679,0.03230540944613336,0.11168968852784882,-0.7458134171671,,-0.007577812092302898
case_00,A,14,-0.7712320754503901,-0.5453434304195458,0.026167381651368008,0.1033562981313332,-0.7712320754503901,,-0.0061380277947653515
case_00,A,15,-0.7941088679053511,-0.561519765496246,0.021195579137608087,0.09613245802523353,-0.7941088679053511,,-0.004971802513759921
case_00,A,16,-0.814697981114816,-0.5760784670652761,0.017168419101462554,0.0898547330428631,-0.814697981114816,,-0.004027160036145533
case_00,A,17,-0.8332281830033343,-0.5891812984774033,0.01390641947218467,0.0843860027603562,-0.8332281830033343,,-0.003261999629277885
case_00,A,18,-0.8499053647030009,-0.6009738467483177,0.011264199772469579,0.07961093548941754,-0.8499053647030009,,-0.002642219699715091
case_00,A,19,-0.8649148282327008,-0.6115871401921407,0.009124001815700361,0.0754322748320599,-0.8649148282327008,,-0.0021401979567692176
case_00,A,20,-0.8784233454094308,-0.6211391042915814,0.0073904414707172865,0.07176778914849263,-0.8784233454094308,,-0.0017335603449830745
case_00,A,21,-0.8905810108684877,-0.629735871981078,0.005986257591281,0.06854776224880631,-0.8905810108684877,,-0.0014041838794362866
case_00,A,22,-0.901522909781639,-0.6374729629016249,0.0048488686489376095,0.06571292631366331,-0.901522909781639,,-0.0011373889423433904
case_00,A,23,-0.911370618803475,-0.6444363447301171,0.003927583605639467,0.06321275647444005,-0.911370618803475,,-0.0009212850432981428
case_00,A,24,-0.9202335569231275,-0.6507033883757601,0.0031813427205679727,0.061004061446087526,-0.9202335569231275,,-0.000746240885071494
case_00,A,25,-0.9282102012308148,-0.6563437276568389,0.0025768876036600546,0.05904981676039846,-0.9282102012308148,,-0.0006044551169079181
case_00,A,26,-0.9353891811077333,-0.6614200330098098,0.002087278958964645,0.05731819702353915,-0.9353891811077333,,-0.0004896086446954098
case_00,A,27,-0.94185026299696,-0.6659887078274835,0.0016906959567613625,0.05578177164937708,-0.94185026299696,,-0.0003965830022032823
case_00,A,28,-0.947665236697264,-0.67010051516339,0.0013694637249767017,0.054416835047730344,-0.947665236697264,,-0.00032123223178466076
case_00,A,29,-0.9528987130275376,-0.6738011417657057,0.0011092656172311285,0.05320284755667861,-0.9528987130275376,,-0.0002601981077455732
case_00,A,30,-0.9576088417247839,-0.6771317057077899,0.0008985051499572118,0.05212196772958059,-0.9576088417247839,,-0.00021076046727391677
case_00,A,31,-0.9618479575523055,-0.6801292132556657,0.0007277891714653432,0.05115866010621971,-0.9618479575523055,,-0.00017071597849186858
case_00,A,32,-0.9656631617970749,-0.6828269700487538,0.0005895092288869284,0.05029936546422706,-0.9656631617970749,,-0.00013827994257841478
case_00,A,33,-0.9690968456173674,-0.6852549511625332,0.00047750247539841165,0.049532222883849675,-0.9690968456173674,,-0.00011200675348851675
case_00,A,34,-0.9721871610556306,-0.6874401341649345,0.00038677700507271464,0.048846834865417056,-0.9721871610556306,,-9.0725470325697e-05
case_00,A,35,-0.9749684449500675,-0.6894067988670959,0.0003132893741089003,0.04823406829499231,-0.9749684449500675,,-7.348763096381436e-05
case_00,A,36,-0.9774716004550608,-0.691176797099041,0.0002537643930282092,0.047685885325003445,-0.9774716004550608,,-5.952498108069106e-05
case_00,A,37,-0.9797244404095546,-0.6927697955077916,0.00020554915835285036,0.04719519927616209,-0.9797244404095546,,-4.821523467535887e-05
case_00,A,38,-0.9817519963685992,-0.6942034940756673,0.00016649481826580797,0.046755751517765225,-0.9817519963685992,,-3.9054340087042386e-05
case_00,A,39,-0.9835767967317393,-0.6954938227867552,0.0001348608027953052,0.046362005980512024,-0.9835767967317393,,-3.1634015470502784e-05
case_00,A,40,-0.9852191170585654,-0.6966551186267345,0.00010923725026419688,0.04600905852768027,-0.9852191170585654,,-2.5623552531108305e-05
case_00,A,41,-0.9866972053527088,-0.6977002848827157,8.848217271400007e-05,0.04569255887999561,-0.9866972053527088,,-2.0755077550196815e-05
case_00,A,42,-0.9880274848174379,-0.6986409345130988,7.167055989834058e-05,0.0454086431755692,-0.9880274848174379,,-1.681161281565949e-05
case_00,A,43,-0.9892247363356941,-0.6994875191804437,5.8053153517655756e-05,0.04515387556416209,-0.9892247363356941,,-1.3617406380684822e-05
case_00,A,44,-0.9903022627021246,-0.700249445381054,4.702305434930159e-05,0.04492519749718285,-0.9903022627021246,,-1.1030099168354167e-05
case_00,A,45,-0.9912720364319122,-0.7009351789616034,3.8088674022933995e-05,0.04471988359136409,-0.9912720364319122,,-8.934380326367594e-06
case_00,A,46,-0.992144832788721,-0.7015523391840979,3.085182595857627e-05,0.04453550312324188,-0.992144832788721,,-7.236848064357722e-06
case_00,A,47,-0.9929303495098489,-0.7021077833843429,2.4989979026446627e-05,0.04436988636009479,-0.9929303495098489,,-5.861846932129646e-06
case_00,A,48,-0.9936373145588641,-0.7026076831645633,2.0241883011421626e-05,0.04422109505637437,-0.9936373145588641,,-4.748096015025001e-06
case_00,A,49,-0.9942735831029776,-0.7030575929667617,1.639592523925158e-05,0.044087396547346676,-0.9942735831029776,,-3.845957772170047e-06
case_00,A,50,-0.9948462247926799,-0.7034625117887403,1.3280699443793552e-05,0.04396724095732149,-0.9948462247926799,,-3.115225795458028e-06
case_00,A,51,-0.995361602313412,-0.7038269387285211,1.0757366549472572e-05,0.0438592411114596,-0.995361602313412,,-2.52333289432098e-06
case_00,A,52,-0.9958254420820708,-0.7041549229743237,8.71346690507269e-06,0.043762154800164176,-0.9958254420820708,,-2.0438996443998826e-06
